well,row,col,cell.line,drug1.units,drug2.units,drug1,drug2,drug1.conc,drug2.conc,upid,expt.date,rate,rate.95ci
O20,O,20,SC07,M,M,plx4720,dpi,0.0,2.4e-10,2,03_27_18,0.0394819820439,0.000207306327462
O21,O,21,SC07,M,M,plx4720,dpi,0.0,6.1e-11,2,03_27_18,0.0346648968172,0.00251166551328
O22,O,22,SC07,M,M,plx4720,dpi,0.0,1.5e-11,2,03_27_18,0.033649474023,0.000445052502452
O23,O,23,SC07,M,M,plx4720,dpi,0.0,3.8e-12,2,03_27_18,0.0340104830369,0.000750568751097
B02,B,2,SC10,M,M,plx4720,control,0.0,0.0,3,03_27_18,0.0279209398018,0.000589502615663
B03,B,3,SC10,M,M,plx4720,dpi,1.6e-05,1e-06,3,03_27_18,-0.00541086772492,0.00191570256613
B04,B,4,SC10,M,M,plx4720,dpi,1.6e-05,2.5e-07,3,03_27_18,-0.00459685937748,0.00298454993374
B05,B,5,SC10,M,M,plx4720,dpi,1.6e-05,6.3e-08,3,03_27_18,-0.0113545244064,0.00292233556959
B06,B,6,SC10,M,M,plx4720,dpi,1.6e-05,1.6e-08,3,03_27_18,-0.0103264233156,0.00195320073886
B07,B,7,SC10,M,M,plx4720,dpi,1.6e-05,3.9e-09,3,03_27_18,0.000520307114862,0.000744044263316
B08,B,8,SC10,M,M,plx4720,dpi,1.6e-05,9.8e-10,3,03_27_18,-0.00112119595624,0.00259963594188
B09,B,9,SC10,M,M,plx4720,dpi,1.6e-05,2.4e-10,3,03_27_18,-0.0057393755084,0.00148649462411
B10,B,10,SC10,M,M,plx4720,dpi,1.6e-05,6.1e-11,3,03_27_18,-0.00548584738759,0.00413217586823
B11,B,11,SC10,M,M,plx4720,dpi,1.6e-05,1.5e-11,3,03_27_18,0.0035490775599,0.00118324744152
B12,B,12,SC10,M,M,plx4720,dpi,1.6e-05,3.8e-12,3,03_27_18,0.00829896628425,0.0010786107495
B13,B,13,SC10,M,M,plx4720,control,1.6e-05,0.0,3,03_27_18,0.000120664702878,0.00230530861639
B14,B,14,SC10,M,M,plx4720,dpi,1.6e-05,1e-06,3,03_27_18,-0.00546682565373,0.0014443339432
B15,B,15,SC10,M,M,plx4720,dpi,1.6e-05,2.5e-07,3,03_27_18,-0.00731067450236,0.00192559891205
B16,B,16,SC10,M,M,plx4720,dpi,1.6e-05,6.3e-08,3,03_27_18,-0.0104536502839,0.00417444358974
B17,B,17,SC10,M,M,plx4720,dpi,1.6e-05,1.6e-08,3,03_27_18,-0.0189442676078,0.00174393793652
B18,B,18,SC10,M,M,plx4720,dpi,1.6e-05,3.9e-09,3,03_27_18,-0.00331781417707,0.0033879220482
B19,B,19,SC10,M,M,plx4720,dpi,1.6e-05,9.8e-10,3,03_27_18,0.00110477049744,0.00190046195805
B20,B,20,SC10,M,M,plx4720,dpi,1.6e-05,2.4e-10,3,03_27_18,0.00179078146333,0.00102018412159
B21,B,21,SC10,M,M,plx4720,dpi,1.6e-05,6.1e-11,3,03_27_18,-0.000390069015421,0.00127729996736
B22,B,22,SC10,M,M,plx4720,dpi,1.6e-05,1.5e-11,3,03_27_18,0.00642291789203,0.0016136881515
B23,B,23,SC10,M,M,plx4720,dpi,1.6e-05,3.8e-12,3,03_27_18,0.00348522870712,0.00281147041832
C02,C,2,SC10,M,M,plx4720,control,0.0,0.0,3,03_27_18,0.0205425199204,0.00368872869238
C03,C,3,SC10,M,M,plx4720,dpi,4e-06,1e-06,3,03_27_18,0.00946335751871,0.00553648428478
C04,C,4,SC10,M,M,plx4720,dpi,4e-06,2.5e-07,3,03_27_18,0.00654467836137,0.00226859529272
C05,C,5,SC10,M,M,plx4720,dpi,4e-06,6.3e-08,3,03_27_18,0.00194398331628,0.00140581345092
C06,C,6,SC10,M,M,plx4720,dpi,4e-06,1.6e-08,3,03_27_18,0.00140242342716,0.00276269913924
C07,C,7,SC10,M,M,plx4720,dpi,4e-06,3.9e-09,3,03_27_18,0.0200201992885,0.00256992496972
C08,C,8,SC10,M,M,plx4720,dpi,4e-06,9.8e-10,3,03_27_18,0.0126602688388,0.00217119568937
C09,C,9,SC10,M,M,plx4720,dpi,4e-06,2.4e-10,3,03_27_18,0.0147403925248,0.00369658391752
C10,C,10,SC10,M,M,plx4720,dpi,4e-06,6.1e-11,3,03_27_18,0.0214093618992,0.00142510666248
C11,C,11,SC10,M,M,plx4720,dpi,4e-06,1.5e-11,3,03_27_18,0.0197565073754,0.00113705123904
C12,C,12,SC10,M,M,plx4720,dpi,4e-06,3.8e-12,3,03_27_18,0.00896553083746,0.0025118305294
C13,C,13,SC10,M,M,plx4720,control,4e-06,0.0,3,03_27_18,0.0242370784391,0.000727649318684
C14,C,14,SC10,M,M,plx4720,dpi,4e-06,1e-06,3,03_27_18,-0.00399127559848,0.000863027191601
C15,C,15,SC10,M,M,plx4720,dpi,4e-06,2.5e-07,3,03_27_18,0.000890727968686,0.00272342002647
C16,C,16,SC10,M,M,plx4720,dpi,4e-06,6.3e-08,3,03_27_18,0.00217933695102,0.00135902416443
C17,C,17,SC10,M,M,plx4720,dpi,4e-06,1.6e-08,3,03_27_18,0.00566296981781,0.00157119361267
C18,C,18,SC10,M,M,plx4720,dpi,4e-06,3.9e-09,3,03_27_18,0.00677665734565,0.000711871928226
C19,C,19,SC10,M,M,plx4720,dpi,4e-06,9.8e-10,3,03_27_18,0.0180039579048,0.00474780569118
C20,C,20,SC10,M,M,plx4720,dpi,4e-06,2.4e-10,3,03_27_18,0.00352253677721,0.00110305952236
C21,C,21,SC10,M,M,plx4720,dpi,4e-06,6.1e-11,3,03_27_18,0.0132620698384,0.00104743887413
C22,C,22,SC10,M,M,plx4720,dpi,4e-06,1.5e-11,3,03_27_18,0.0178210816651,0.000307412290711
C23,C,23,SC10,M,M,plx4720,dpi,4e-06,3.8e-12,3,03_27_18,0.0119885236687,0.00118747354638
D02,D,2,SC10,M,M,plx4720,control,0.0,0.0,3,03_27_18,0.0346908024444,0.00202374566628
D03,D,3,SC10,M,M,plx4720,dpi,1e-06,1e-06,3,03_27_18,-0.00487839760179,0.0007878334538
D04,D,4,SC10,M,M,plx4720,dpi,1e-06,2.5e-07,3,03_27_18,0.00105162459322,0.00199571536374
D05,D,5,SC10,M,M,plx4720,dpi,1e-06,6.3e-08,3,03_27_18,0.00957786295574,0.00150604527417
D06,D,6,SC10,M,M,plx4720,dpi,1e-06,1.6e-08,3,03_27_18,0.011803283481,0.00209820984662
D07,D,7,SC10,M,M,plx4720,dpi,1e-06,3.9e-09,3,03_27_18,0.017803064084,0.00126395689428
D08,D,8,SC10,M,M,plx4720,dpi,1e-06,9.8e-10,3,03_27_18,0.0193021676183,0.00289661965072
D09,D,9,SC10,M,M,plx4720,dpi,1e-06,2.4e-10,3,03_27_18,0.016788759495,0.0014490412057
D10,D,10,SC10,M,M,plx4720,dpi,1e-06,6.1e-11,3,03_27_18,0.0162113369182,0.000597857241647
D11,D,11,SC10,M,M,plx4720,dpi,1e-06,1.5e-11,3,03_27_18,0.0186272083404,0.00127732860351
D12,D,12,SC10,M,M,plx4720,dpi,1e-06,3.8e-12,3,03_27_18,0.0192959183505,0.000858677475545
D13,D,13,SC10,M,M,plx4720,control,1e-06,0.0,3,03_27_18,0.0125497900005,0.00109149903116
D14,D,14,SC10,M,M,plx4720,dpi,1e-06,1e-06,3,03_27_18,-0.00371152999989,0.00169178711445
D15,D,15,SC10,M,M,plx4720,dpi,1e-06,2.5e-07,3,03_27_18,0.00741058393333,0.00248841271863
D16,D,16,SC10,M,M,plx4720,dpi,1e-06,6.3e-08,3,03_27_18,-0.00192171457719,0.0011184823211
D17,D,17,SC10,M,M,plx4720,dpi,1e-06,1.6e-08,3,03_27_18,0.014236537896,0.00218774588654
D18,D,18,SC10,M,M,plx4720,dpi,1e-06,3.9e-09,3,03_27_18,0.00659527596626,0.00213433846367
D19,D,19,SC10,M,M,plx4720,dpi,1e-06,9.8e-10,3,03_27_18,-0.000236606224445,0.00166651040737
D20,D,20,SC10,M,M,plx4720,dpi,1e-06,2.4e-10,3,03_27_18,0.0125105858005,0.000246769144215
D21,D,21,SC10,M,M,plx4720,dpi,1e-06,6.1e-11,3,03_27_18,0.00422860320787,0.00258494733503
D22,D,22,SC10,M,M,plx4720,dpi,1e-06,1.5e-11,3,03_27_18,0.0176721555867,0.000699866505276
D23,D,23,SC10,M,M,plx4720,dpi,1e-06,3.8e-12,3,03_27_18,0.0130156928995,0.000837563904566
E02,E,2,SC10,M,M,plx4720,control,0.0,0.0,3,03_27_18,0.0320889440674,0.000543253855962
E03,E,3,SC10,M,M,plx4720,dpi,2.5e-07,1e-06,3,03_27_18,-0.00241396094007,0.000392151508867
E04,E,4,SC10,M,M,plx4720,dpi,2.5e-07,2.5e-07,3,03_27_18,0.0104559407653,0.00086415504763
E05,E,5,SC10,M,M,plx4720,dpi,2.5e-07,6.3e-08,3,03_27_18,0.0090349558065,0.00140054966854
E06,E,6,SC10,M,M,plx4720,dpi,2.5e-07,1.6e-08,3,03_27_18,-0.0058818545402,0.00238757223672
E07,E,7,SC10,M,M,plx4720,dpi,2.5e-07,3.9e-09,3,03_27_18,0.0127957802423,0.000323050861907
E08,E,8,SC10,M,M,plx4720,dpi,2.5e-07,9.8e-10,3,03_27_18,0.00586050683657,0.000951501878283
E09,E,9,SC10,M,M,plx4720,dpi,2.5e-07,2.4e-10,3,03_27_18,0.0228914061922,0.000729632203628
E10,E,10,SC10,M,M,plx4720,dpi,2.5e-07,6.1e-11,3,03_27_18,0.03103447649,0.00409062842769
E11,E,11,SC10,M,M,plx4720,dpi,2.5e-07,1.5e-11,3,03_27_18,0.0254608190902,0.00121864672144
E12,E,12,SC10,M,M,plx4720,dpi,2.5e-07,3.8e-12,3,03_27_18,0.0157698965724,0.00138323620782
E13,E,13,SC10,M,M,plx4720,control,2.5e-07,0.0,3,03_27_18,0.0255646879473,0.00093635344918
E14,E,14,SC10,M,M,plx4720,dpi,2.5e-07,1e-06,3,03_27_18,-0.00325211943537,0.000748037882493
E15,E,15,SC10,M,M,plx4720,dpi,2.5e-07,2.5e-07,3,03_27_18,0.00776912538206,0.000681015734032
E16,E,16,SC10,M,M,plx4720,dpi,2.5e-07,6.3e-08,3,03_27_18,0.00437143904569,0.00120935494955
E17,E,17,SC10,M,M,plx4720,dpi,2.5e-07,1.6e-08,3,03_27_18,0.0136205402765,0.000913270218514
E18,E,18,SC10,M,M,plx4720,dpi,2.5e-07,3.9e-09,3,03_27_18,0.00684378079023,0.000811819065077
E19,E,19,SC10,M,M,plx4720,dpi,2.5e-07,9.8e-10,3,03_27_18,0.0118418502135,0.000885088226609
E20,E,20,SC10,M,M,plx4720,dpi,2.5e-07,2.4e-10,3,03_27_18,0.0136979360869,0.000991000792447
E21,E,21,SC10,M,M,plx4720,dpi,2.5e-07,6.1e-11,3,03_27_18,0.0199670613524,0.00104007116563
E22,E,22,SC10,M,M,plx4720,dpi,2.5e-07,1.5e-11,3,03_27_18,0.0214945687108,0.00160173004262
E23,E,23,SC10,M,M,plx4720,dpi,2.5e-07,3.8e-12,3,03_27_18,0.0176726428724,0.00120022718101
F02,F,2,SC10,M,M,plx4720,control,0.0,0.0,3,03_27_18,0.0318310580215,0.000851916700932
F03,F,3,SC10,M,M,plx4720,dpi,6.3e-08,1e-06,3,03_27_18,-0.00184164450267,0.000850817198718
F04,F,4,SC10,M,M,plx4720,dpi,6.3e-08,2.5e-07,3,03_27_18,0.0142066703236,0.000936379898942
F05,F,5,SC10,M,M,plx4720,dpi,6.3e-08,6.3e-08,3,03_27_18,0.00690436056296,0.000713237853345
F06,F,6,SC10,M,M,plx4720,dpi,6.3e-08,1.6e-08,3,03_27_18,0.00762787725215,0.00131471184895
F07,F,7,SC10,M,M,plx4720,dpi,6.3e-08,3.9e-09,3,03_27_18,0.00305339014467,0.00323363154201
F08,F,8,SC10,M,M,plx4720,dpi,6.3e-08,9.8e-10,3,03_27_18,0.0144229578095,0.00110179467682
F09,F,9,SC10,M,M,plx4720,dpi,6.3e-08,2.4e-10,3,03_27_18,0.0147875037659,0.000515625016554
F10,F,10,SC10,M,M,plx4720,dpi,6.3e-08,6.1e-11,3,03_27_18,0.0143874062021,0.00156562623852
F11,F,11,SC10,M,M,plx4720,dpi,6.3e-08,1.5e-11,3,03_27_18,0.0291246386609,0.00096837647075
F12,F,12,SC10,M,M,plx4720,dpi,6.3e-08,3.8e-12,3,03_27_18,0.018845002812,0.000614628977912
F13,F,13,SC10,M,M,plx4720,control,6.3e-08,0.0,3,03_27_18,0.0199946805309,0.00136589466898
F14,F,14,SC10,M,M,plx4720,dpi,6.3e-08,1e-06,3,03_27_18,-0.00205631359328,0.00264995604545
F15,F,15,SC10,M,M,plx4720,dpi,6.3e-08,2.5e-07,3,03_27_18,0.00589615564215,0.00093024763635
F16,F,16,SC10,M,M,plx4720,dpi,6.3e-08,6.3e-08,3,03_27_18,0.00385789522892,0.00101810593435
F17,F,17,SC10,M,M,plx4720,dpi,6.3e-08,1.6e-08,3,03_27_18,0.0296671691658,0.00147976762233
F18,F,18,SC10,M,M,plx4720,dpi,6.3e-08,3.9e-09,3,03_27_18,0.0106107123814,0.000617348258375
F19,F,19,SC10,M,M,plx4720,dpi,6.3e-08,9.8e-10,3,03_27_18,0.0161634667352,0.000853639437144
F20,F,20,SC10,M,M,plx4720,dpi,6.3e-08,2.4e-10,3,03_27_18,0.0132176867757,0.00184258504156
F21,F,21,SC10,M,M,plx4720,dpi,6.3e-08,6.1e-11,3,03_27_18,0.0183555924549,0.00170886400838
F22,F,22,SC10,M,M,plx4720,dpi,6.3e-08,1.5e-11,3,03_27_18,0.0108055259727,0.00099528307803
F23,F,23,SC10,M,M,plx4720,dpi,6.3e-08,3.8e-12,3,03_27_18,0.0329492648665,0.000817053758148
G02,G,2,SC10,M,M,plx4720,control,0.0,0.0,3,03_27_18,0.0380097993573,0.00171678857047
G03,G,3,SC10,M,M,plx4720,dpi,1.6e-08,1e-06,3,03_27_18,0.000520307114862,0.000744044263316
G04,G,4,SC10,M,M,plx4720,dpi,1.6e-08,2.5e-07,3,03_27_18,0.00117978705465,0.00170776023597
G05,G,5,SC10,M,M,plx4720,dpi,1.6e-08,6.3e-08,3,03_27_18,0.0116000585807,0.00180395960572
G06,G,6,SC10,M,M,plx4720,dpi,1.6e-08,1.6e-08,3,03_27_18,0.0121884849071,0.00210713673483
G07,G,7,SC10,M,M,plx4720,dpi,1.6e-08,3.9e-09,3,03_27_18,-0.00430024671556,0.00125179721385
G08,G,8,SC10,M,M,plx4720,dpi,1.6e-08,9.8e-10,3,03_27_18,0.0103729707143,0.00244907136721
G09,G,9,SC10,M,M,plx4720,dpi,1.6e-08,2.4e-10,3,03_27_18,0.0272195786043,0.000458917745943
G10,G,10,SC10,M,M,plx4720,dpi,1.6e-08,6.1e-11,3,03_27_18,0.0219544004238,0.000777912202888
G11,G,11,SC10,M,M,plx4720,dpi,1.6e-08,1.5e-11,3,03_27_18,0.0156506165822,0.001135345087
G12,G,12,SC10,M,M,plx4720,dpi,1.6e-08,3.8e-12,3,03_27_18,0.00849170552993,0.00166429866064
G13,G,13,SC10,M,M,plx4720,control,1.6e-08,0.0,3,03_27_18,0.0138216420634,0.000834416728308
G14,G,14,SC10,M,M,plx4720,dpi,1.6e-08,1e-06,3,03_27_18,-0.00380270125154,0.00176576473199
G15,G,15,SC10,M,M,plx4720,dpi,1.6e-08,2.5e-07,3,03_27_18,0.00681127616493,0.00118014248158
G16,G,16,SC10,M,M,plx4720,dpi,1.6e-08,6.3e-08,3,03_27_18,0.0102648830719,0.00154290180844
G17,G,17,SC10,M,M,plx4720,dpi,1.6e-08,1.6e-08,3,03_27_18,0.0261539120649,0.000533304274777
G18,G,18,SC10,M,M,plx4720,dpi,1.6e-08,3.9e-09,3,03_27_18,0.019015195312,0.00171721043245
G19,G,19,SC10,M,M,plx4720,dpi,1.6e-08,9.8e-10,3,03_27_18,0.0243128959498,0.00153326771628
G20,G,20,SC10,M,M,plx4720,dpi,1.6e-08,2.4e-10,3,03_27_18,0.0271298024658,0.000497272394011
G21,G,21,SC10,M,M,plx4720,dpi,1.6e-08,6.1e-11,3,03_27_18,0.0347757771422,0.000312117184225
G22,G,22,SC10,M,M,plx4720,dpi,1.6e-08,1.5e-11,3,03_27_18,0.0316717046109,0.000486081617191
G23,G,23,SC10,M,M,plx4720,dpi,1.6e-08,3.8e-12,3,03_27_18,0.0311582180763,0.000812674277603
H02,H,2,SC10,M,M,plx4720,control,0.0,0.0,3,03_27_18,0.0284761882523,0.00069777865546
H03,H,3,SC10,M,M,plx4720,dpi,0.0,1e-06,3,03_27_18,0.00251604478585,0.00147627863174
H04,H,4,SC10,M,M,plx4720,dpi,0.0,2.5e-07,3,03_27_18,0.0253668999608,0.00128354479484
H05,H,5,SC10,M,M,plx4720,dpi,0.0,6.3e-08,3,03_27_18,0.0260556678255,0.000714980017089
H06,H,6,SC10,M,M,plx4720,dpi,0.0,1.6e-08,3,03_27_18,0.0219233867992,0.000489490587832
H07,H,7,SC10,M,M,plx4720,dpi,0.0,3.9e-09,3,03_27_18,0.0200011951271,0.00287512757153
H08,H,8,SC10,M,M,plx4720,dpi,0.0,9.8e-10,3,03_27_18,0.0315136562681,0.00238836746663
H09,H,9,SC10,M,M,plx4720,dpi,0.0,2.4e-10,3,03_27_18,0.0319479368756,0.00106506875026
H10,H,10,SC10,M,M,plx4720,dpi,0.0,6.1e-11,3,03_27_18,0.0277882814878,0.000558112592473
H11,H,11,SC10,M,M,plx4720,dpi,0.0,1.5e-11,3,03_27_18,0.039118782422,0.000807298846687
H12,H,12,SC10,M,M,plx4720,dpi,0.0,3.8e-12,3,03_27_18,0.031021213598,0.000978089809914
H13,H,13,SC10,M,M,plx4720,control,0.0,0.0,3,03_27_18,0.0353390108167,0.000667536742782
H14,H,14,SC10,M,M,plx4720,dpi,0.0,1e-06,3,03_27_18,-2.64617986478e-06,0.000779579607273
H15,H,15,SC10,M,M,plx4720,dpi,0.0,2.5e-07,3,03_27_18,0.0248125803526,0.0015112791097
H16,H,16,SC10,M,M,plx4720,dpi,0.0,6.3e-08,3,03_27_18,0.0250260608043,0.00114657589452
H17,H,17,SC10,M,M,plx4720,dpi,0.0,1.6e-08,3,03_27_18,0.0276067130724,0.000808014574188
H18,H,18,SC10,M,M,plx4720,dpi,0.0,3.9e-09,3,03_27_18,0.0350540192489,0.000867181704494
H19,H,19,SC10,M,M,plx4720,dpi,0.0,9.8e-10,3,03_27_18,0.0297383904296,0.000492005683993
H20,H,20,SC10,M,M,plx4720,dpi,0.0,2.4e-10,3,03_27_18,0.0326208609877,0.00138950085499
H21,H,21,SC10,M,M,plx4720,dpi,0.0,6.1e-11,3,03_27_18,0.038496295522,0.00123766951107
H22,H,22,SC10,M,M,plx4720,dpi,0.0,1.5e-11,3,03_27_18,0.0380005623906,0.000653733934137
H23,H,23,SC10,M,M,plx4720,dpi,0.0,3.8e-12,3,03_27_18,0.0347461862348,0.000905338405338
I02,I,2,SKMEL5_2X,M,M,plx4720,control,0.0,0.0,4,03_27_18,0.0355822189557,0.000504030813665
I03,I,3,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,1e-06,4,03_27_18,-0.00712758919884,0.00163934530601
I04,I,4,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,2.5e-07,4,03_27_18,-0.00627192140337,0.000886029937954
I05,I,5,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,6.3e-08,4,03_27_18,0.00377831619478,0.00083782308027
I06,I,6,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,1.6e-08,4,03_27_18,0.000532990701677,0.000363091194637
I07,I,7,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,3.9e-09,4,03_27_18,0.00907044719028,0.000227772037835
I08,I,8,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,9.8e-10,4,03_27_18,0.00820354086258,0.00100042688859
I09,I,9,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,2.4e-10,4,03_27_18,0.0119736775532,0.00115905721101
I10,I,10,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,6.1e-11,4,03_27_18,0.00152847606497,0.00155719783173
I11,I,11,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,1.5e-11,4,03_27_18,0.00647181454921,0.00107199381732
I12,I,12,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,3.8e-12,4,03_27_18,-0.00185666169667,0.00102946843918
I13,I,13,SKMEL5_2X,M,M,plx4720,control,1.6e-05,0.0,4,03_27_18,0.0103438986667,0.000949831786256
I14,I,14,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,1e-06,4,03_27_18,-0.00524801840052,0.0022771613977
I15,I,15,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,2.5e-07,4,03_27_18,-0.011080703892,0.00216133206106
I16,I,16,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,6.3e-08,4,03_27_18,-8.36035541276e-05,0.000789150608537
I17,I,17,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,1.6e-08,4,03_27_18,-0.00817498256757,0.00152065348626
I18,I,18,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,3.9e-09,4,03_27_18,0.00281990915376,0.000721907966934
I19,I,19,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,9.8e-10,4,03_27_18,-0.00530370452822,0.00142613804756
I20,I,20,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,2.4e-10,4,03_27_18,-0.00181096963391,0.000804246624813
I21,I,21,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,6.1e-11,4,03_27_18,0.00443293387201,0.00132262861156
I22,I,22,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,1.5e-11,4,03_27_18,0.00699985933435,0.00118384840755
I23,I,23,SKMEL5_2X,M,M,plx4720,dpi,1.6e-05,3.8e-12,4,03_27_18,0.0110941528352,0.000544476119744
J02,J,2,SKMEL5_2X,M,M,plx4720,control,0.0,0.0,4,03_27_18,0.036861744737,0.000899856888921
J03,J,3,SKMEL5_2X,M,M,plx4720,dpi,4e-06,1e-06,4,03_27_18,-0.00387007037085,0.0011310723666
J04,J,4,SKMEL5_2X,M,M,plx4720,dpi,4e-06,2.5e-07,4,03_27_18,-0.00371502082675,0.00255056690637
J05,J,5,SKMEL5_2X,M,M,plx4720,dpi,4e-06,6.3e-08,4,03_27_18,0.00803121869182,0.00139124847042
J06,J,6,SKMEL5_2X,M,M,plx4720,dpi,4e-06,1.6e-08,4,03_27_18,0.00717646947142,0.000808418263887
J07,J,7,SKMEL5_2X,M,M,plx4720,dpi,4e-06,3.9e-09,4,03_27_18,0.00109752609267,0.000706855092362
J08,J,8,SKMEL5_2X,M,M,plx4720,dpi,4e-06,9.8e-10,4,03_27_18,0.0168133196989,0.00125049993549
J09,J,9,SKMEL5_2X,M,M,plx4720,dpi,4e-06,2.4e-10,4,03_27_18,0.0146506963345,0.000837122333191
J10,J,10,SKMEL5_2X,M,M,plx4720,dpi,4e-06,6.1e-11,4,03_27_18,0.0149667571061,0.00063994038101
J11,J,11,SKMEL5_2X,M,M,plx4720,dpi,4e-06,1.5e-11,4,03_27_18,0.0143934805623,0.000910373151141
J12,J,12,SKMEL5_2X,M,M,plx4720,dpi,4e-06,3.8e-12,4,03_27_18,0.0211742638118,0.000484974701524
J13,J,13,SKMEL5_2X,M,M,plx4720,control,4e-06,0.0,4,03_27_18,0.0116483269896,0.000907562770489
J14,J,14,SKMEL5_2X,M,M,plx4720,dpi,4e-06,1e-06,4,03_27_18,-0.00673120954629,0.00156747660693
J15,J,15,SKMEL5_2X,M,M,plx4720,dpi,4e-06,2.5e-07,4,03_27_18,-0.00517778244969,0.000977907905433
J16,J,16,SKMEL5_2X,M,M,plx4720,dpi,4e-06,6.3e-08,4,03_27_18,0.00188189801481,0.000582150688497
J17,J,17,SKMEL5_2X,M,M,plx4720,dpi,4e-06,1.6e-08,4,03_27_18,0.00810831579225,0.000923576344277
J18,J,18,SKMEL5_2X,M,M,plx4720,dpi,4e-06,3.9e-09,4,03_27_18,0.00643854992123,0.00117169038614
J19,J,19,SKMEL5_2X,M,M,plx4720,dpi,4e-06,9.8e-10,4,03_27_18,0.00560824937887,0.000998665997045
J20,J,20,SKMEL5_2X,M,M,plx4720,dpi,4e-06,2.4e-10,4,03_27_18,0.0131342615424,0.000798885256267
J21,J,21,SKMEL5_2X,M,M,plx4720,dpi,4e-06,6.1e-11,4,03_27_18,0.0180907585691,0.000562788029983
J22,J,22,SKMEL5_2X,M,M,plx4720,dpi,4e-06,1.5e-11,4,03_27_18,0.0115450129513,0.00063893085185
J23,J,23,SKMEL5_2X,M,M,plx4720,dpi,4e-06,3.8e-12,4,03_27_18,0.0161643500741,0.000651506883453
K02,K,2,SKMEL5_2X,M,M,plx4720,control,0.0,0.0,4,03_27_18,0.0364848407745,0.000280946381608
K03,K,3,SKMEL5_2X,M,M,plx4720,dpi,1e-06,1e-06,4,03_27_18,-0.0106138035991,0.00105694386324
K04,K,4,SKMEL5_2X,M,M,plx4720,dpi,1e-06,2.5e-07,4,03_27_18,0.00127261382426,0.00227922698254
K05,K,5,SKMEL5_2X,M,M,plx4720,dpi,1e-06,6.3e-08,4,03_27_18,0.00345521386513,0.00129086223266
K06,K,6,SKMEL5_2X,M,M,plx4720,dpi,1e-06,1.6e-08,4,03_27_18,-0.00173848026923,0.000942452723455
K07,K,7,SKMEL5_2X,M,M,plx4720,dpi,1e-06,3.9e-09,4,03_27_18,0.011037944348,0.000530745727429
K08,K,8,SKMEL5_2X,M,M,plx4720,dpi,1e-06,9.8e-10,4,03_27_18,0.00977665856011,0.000899198030685
K09,K,9,SKMEL5_2X,M,M,plx4720,dpi,1e-06,2.4e-10,4,03_27_18,0.0162294635871,0.000903889576333
K10,K,10,SKMEL5_2X,M,M,plx4720,dpi,1e-06,6.1e-11,4,03_27_18,0.0174618212692,0.000995597690082
K11,K,11,SKMEL5_2X,M,M,plx4720,dpi,1e-06,1.5e-11,4,03_27_18,0.0176274018892,0.000341290237817
K12,K,12,SKMEL5_2X,M,M,plx4720,dpi,1e-06,3.8e-12,4,03_27_18,0.0213668906481,0.000480520558182
K13,K,13,SKMEL5_2X,M,M,plx4720,control,1e-06,0.0,4,03_27_18,0.0192640175803,0.000692703602012
K14,K,14,SKMEL5_2X,M,M,plx4720,dpi,1e-06,1e-06,4,03_27_18,-0.00325142433172,0.00181085658786
K15,K,15,SKMEL5_2X,M,M,plx4720,dpi,1e-06,2.5e-07,4,03_27_18,0.00499947212405,0.00102114500299
K16,K,16,SKMEL5_2X,M,M,plx4720,dpi,1e-06,6.3e-08,4,03_27_18,0.00585512413292,0.000898191176703
K17,K,17,SKMEL5_2X,M,M,plx4720,dpi,1e-06,1.6e-08,4,03_27_18,0.0243994155474,0.0023147743682
K18,K,18,SKMEL5_2X,M,M,plx4720,dpi,1e-06,3.9e-09,4,03_27_18,0.00912242309984,0.000490346346092
K19,K,19,SKMEL5_2X,M,M,plx4720,dpi,1e-06,9.8e-10,4,03_27_18,0.00822922798064,0.000758854788653
K20,K,20,SKMEL5_2X,M,M,plx4720,dpi,1e-06,2.4e-10,4,03_27_18,0.0168181904107,0.000640653560649
K21,K,21,SKMEL5_2X,M,M,plx4720,dpi,1e-06,6.1e-11,4,03_27_18,0.0106998603379,0.000482269540791
K22,K,22,SKMEL5_2X,M,M,plx4720,dpi,1e-06,1.5e-11,4,03_27_18,0.0166242816725,0.00113630362983
K23,K,23,SKMEL5_2X,M,M,plx4720,dpi,1e-06,3.8e-12,4,03_27_18,0.0152791356018,0.000811971762048
